,domination_number,total_domination_number,connected_domination_number,independence_number,zero_forcing_number,diameter,radius,order,independent_domination_number,chromatic_number,matching_number,min_maximal_matching_number,triameter,min_degree,max_degree,clique_number,residue,annihilation_number,vertex_cover_number,girth,density,estrada_index,transitivity,global_efficiency,local_efficiency,wiener_index,algebraic_connectivity,k-slater-index,k_residual_index,randic_index,augmented_randic_index,harmonic_index,atom_bond_connectivity_index,sum_connectivity_index,first_zagreb_index,second_zagreb_index,slater,sub_total_domination_number,CW_disparity,closed_CW_disparity,inverse_disparity,closed_inverse_disparity,average_vertex_disparity,average_closed_vertex_disparity,irregularity,2-residue,number_of_degree_one_nodes,average_degree,number_of_min_degree_nodes,number_of_max_degree_nodes,is_bipartite,is_eulerian,is_planar,is_regular,is_cubic,is_not_K_n,is_triangle_free,is_claw_free,is_tree,is_at_free,has_bridges,is_chordal,is_2_edge_connected,is_distance_regular,is_strongly_regular,is_semieulerian,is_bull_free,is_complete_graph,is_sub_cubic
"3,6_cubic_cage.txt",4,6,6,7,6,3,3,14,4,2,7,5,8,3,3,2,4,7,7,6,0.23076923076923078,46.273526670858374,0,0.5641025641025637,0.0,189.0,1.5857864376269055,1,3,7.0,7.0,7.0,14.0,8.573214099741124,126.0,189.0,4,5,7.0,7.0,14.0,14.0,1.0,1.0,1.0,5.5,0,3.0,14,14,True,False,False,True,True,True,True,False,False,False,False,False,True,True,False,False,True,False,True
Diamond_Necklace3.txt,3,5,7,4,5,4,4,12,3,3,6,4,9,3,3,3,3,6,8,3,0.2727272727272727,50.42873819214988,0.5,0.5340909090909092,0.5833333333333333,162.0,0.4858630706647092,1,2,6.0,6.0,6.0,12.0,7.348469228349535,108.0,162.0,3,4,6.0,6.0,12.0,12.0,1.0,1.0,1.0,4.5,0,3.0,12,12,False,False,True,True,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True
G10.txt,2,3,3,3,1,4,2,5,2,2,2,2,8,1,2,2,2,3,2,1000000,0.4,9.915316149982347,0,0.6416666666666667,0.0,20.0,0.3819660112501053,1,2,2.414213562373095,2.0,2.333333333333333,2.8284271247461903,2.1547005383792515,14.0,12.0,2,3,2.1666666666666665,1.833333333333333,4.0,3.0,1.4,1.8,1.9333333333333333,3.0,2,1.6,2,3,True,False,True,False,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True
G11.txt,1,2,1,4,3,2,1,5,1,2,1,1,6,1,4,2,4,4,1,1000000,0.4,10.524391382167263,0,0.7,0.0,16.0,1.0000000000000004,1,1,2.0,1.0,1.6,3.4641016151377544,1.7888543819998317,20.0,16.0,1,2,2.5,1.6666666666666665,5.0,2.5,1.0,2.0,2.0,4.0,4,1.6,4,1,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False
G12.txt,2,2,2,3,2,3,2,5,2,2,2,1,8,1,3,2,3,3,2,1000000,0.4,10.118119614388574,0,0.6666666666666667,0.0,18.0,0.5188056959079879,1,1,2.270055610029662,1.5,2.0666666666666664,3.0472067242285474,2.0245638646895836,16.0,14.0,2,2,2.1666666666666665,1.4999999999999998,4.0,2.1666666666666665,1.4,2.4,2.6,3.5,3,1.6,3,1,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,True
G13.txt,2,2,2,3,2,3,2,5,2,2,2,2,6,1,3,2,2,3,2,4,0.5,12.03649415431201,0,0.7333333333333334,0.0,16.0,0.8299135133739666,1,2,2.393846850117352,2.0,2.3,3.644923705673916,2.3944271909999157,22.0,23.0,2,2,1.9999999999999998,1.7499999999999998,3.5,2.833333333333333,1.6,2.0,2.2666666666666666,3.0,1,2.0,1,1,True,False,True,False,False,True,True,False,False,True,True,False,False,False,False,True,True,False,True
G14.txt,2,2,2,3,2,3,2,5,2,3,2,1,7,1,3,3,3,3,2,3,0.5,13.32724713275439,0.42857142857142855,0.7333333333333334,0.3333333333333333,16.0,0.6972243622680061,1,1,2.304530452640311,1.6666666666666665,2.1333333333333333,3.713873390895214,2.302675481463779,24.0,27.0,2,2,2.0,1.4999999999999998,3.6666666666666665,2.1666666666666665,1.8,2.4,2.6,3.0,2,2.0,2,2,False,False,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,True
G15.txt,1,2,1,3,2,2,1,5,1,3,2,1,6,1,4,3,3,3,2,3,0.5,13.543658627273347,0.375,0.75,0.4333333333333334,15.0,1.0000000000000009,1,1,2.2071067811865475,1.5,1.9666666666666668,3.85337115112852,2.210923771927642,26.0,28.0,1,2,1.9999999999999998,1.583333333333333,3.5,2.333333333333333,1.6,2.2,2.3333333333333335,3.5,2,2.0,2,1,False,False,True,False,False,True,False,False,False,True,True,True,False,False,False,True,True,False,False
G16.txt,2,2,2,2,2,3,2,5,2,3,2,2,7,1,3,3,2,3,3,3,0.5,13.011845186295279,0.5,0.7166666666666667,0.4666666666666666,17.0,0.5188056959079845,1,1,2.431851652578137,2.0,2.3666666666666667,3.5355339059327378,2.4189910556895,22.0,24.0,2,2,1.9999999999999998,1.583333333333333,3.5,2.333333333333333,1.6,2.2,2.3333333333333335,3.0,1,2.0,1,1,False,False,True,False,False,True,False,True,False,True,True,True,False,False,False,True,True,False,True
G17.txt,2,2,2,3,3,2,2,5,2,2,2,2,6,2,3,2,2,3,2,4,0.6,14.668772819667726,0,0.8,0.0,14.0,2.0000000000000013,1,3,2.4494897427831783,2.0,2.4000000000000004,4.242640687119286,2.6832815729997477,30.0,36.0,2,2,2.5,1.6666666666666665,5.0,2.5,1.0,2.0,2.0,2.5,0,2.4,3,2,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,True,False,True
